id,query,category,query_type,difficulty,risk_level,expected_classification,gold_command,actual_retrieved,actual_command,actual_score,actual_confidence,latency_ms,evaluation_status,error_category,gold_status
TA-B027,show me all docker containers that are currently active,docker,paraphrase,medium,low,CORRECT,docker ps,true,docker ps,15.5113,100,6.4642,CORRECT,,VALIDATED
TA-B028,install all project dependencies with npm,npm,paraphrase,medium,low,CORRECT,npm install,true,npm install,15.4051,100,6.0092,CORRECT,,VALIDATED
TA-B029,search for a text string in all files in the directory tree,grep,paraphrase,medium,low,CORRECT,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',true,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',16.3985,100,3.324,CORRECT,,VALIDATED
TA-B030,see which git branches exist,git,paraphrase,medium,low,CORRECT,git branch -a,true,git branch -a,8.4692,100,3.3995,CORRECT,,VALIDATED
TA-B031,create a new folder,filesystem,paraphrase,medium,low,CORRECT,New-Item -ItemType Directory -Path 'path/to/directory' -Force,true,npm init -y,7.2974,91,2.556,INCORRECT,overconfident_wrong,VALIDATED
TA-B032,check what ports my machine is listening on,network,paraphrase,medium,low,CORRECT,Get-NetTCPConnection -State Listen,true,Get-NetTCPConnection -State Listen,14.3957,100,2.3615,CORRECT,,VALIDATED
TA-B033,display all environment variables,shell,paraphrase,medium,low,CORRECT,Get-ChildItem Env:,true,Get-ChildItem Env:,15.7115,100,2.6339,CORRECT,,VALIDATED
TA-B034,find python scripts that were edited recently,find,paraphrase,medium,low,CORRECT,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },true,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },9.1154,100,2.4935,CORRECT,,VALIDATED
TA-B035,save the current changes for later without committing,git,paraphrase,medium,low,CORRECT,git stash,true,git stash,9.0711,100,2.5817,CORRECT,,VALIDATED
TA-B036,copy a whole directory to another location,filesystem,paraphrase,medium,low,CORRECT,Copy-Item -Recurse 'source/' 'destination/',true,Copy-Item -Recurse 'source/' 'destination/',9.6456,100,2.3205,CORRECT,,VALIDATED
TA-B037,look up what python libraries I have,pip,paraphrase,medium,low,CORRECT,pip list,true,Resolve-DnsName example.com -Type ALL,10.8755,100,2.641,INCORRECT,overconfident_wrong,VALIDATED
TA-B038,merge feature branch into main,git,paraphrase,medium,medium,CORRECT,git merge branch-name,true,git merge branch-name,16.3452,100,2.5285,CORRECT,,VALIDATED
TA-B039,get inside a running docker container shell,docker,paraphrase,medium,low,CORRECT,docker exec -it container-name /bin/bash,true,docker exec -it container-name /bin/bash,19.093,100,2.4988,CORRECT,,VALIDATED
TA-B040,launch docker services defined in the compose file,docker,paraphrase,medium,low,CORRECT,docker compose up -d,true,docker compose up -d,18.164,100,3.1099,CORRECT,,VALIDATED
TA-B041,generate an ssh key,ssh,paraphrase,medium,low,CORRECT,ssh-keygen -t ed25519 -C 'your_email@example.com',true,ssh-keygen -t ed25519 -C 'your_email@example.com',17.4047,100,2.7464,CORRECT,,VALIDATED
TA-B042,send a POST request to an API endpoint,curl,paraphrase,medium,low,CORRECT,"curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint",true,"curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint",20.1212,100,2.5559,CORRECT,,VALIDATED
TA-B043,compress a directory into a zip file,archive,paraphrase,medium,low,CORRECT,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',true,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',20.3473,100,2.7754,CORRECT,,VALIDATED
TA-B044,terminate a process using its PID,process,paraphrase,medium,medium,CORRECT,Stop-Process -Id PID -Force,true,Stop-Process -Id PID -Force,12.8838,100,2.7228,CORRECT,,VALIDATED
TA-B045,see the differences before staging my changes,git,paraphrase,medium,low,CORRECT,git diff,true,Compare-Object (Get-Content 'file1.txt') (Get-Content 'file2.txt'),5.4377,68,2.3763,INCORRECT,semantic_mismatch,VALIDATED
TA-B046,convert mkv video to mp4,ffmpeg,paraphrase,medium,low,CORRECT,ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4,true,ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4,14.8327,100,2.6765,CORRECT,,VALIDATED
TA-B047,check how much RAM is being used,process,paraphrase,medium,low,CORRECT,"Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory",true,"Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory",5.2357,65,2.3408,CORRECT,,VALIDATED
TA-B048,create a shortcut command alias,shell,paraphrase,medium,low,CORRECT,Set-Alias -Name ll -Value Get-ChildItem,true,Set-Alias -Name ll -Value Get-ChildItem,21.9589,100,2.019,CORRECT,,VALIDATED
TA-B049,what npm packages have newer versions available,npm,paraphrase,medium,low,CORRECT,npm outdated,true,npm outdated,27.1308,100,3.4325,CORRECT,,VALIDATED
TA-B050,check the SSL certificate for a website,security,paraphrase,medium,low,CORRECT,openssl s_client -connect example.com:443 -showcerts,true,openssl s_client -connect example.com:443 -showcerts,16.4854,100,2.8795,CORRECT,,VALIDATED
TA-B051,I want to go back one version in my repo but not lose anything,git,low_overlap_paraphrase,hard,medium,CORRECT,git reset --soft HEAD~1,true,git remote add origin https://github.com/user/repo.git,7.1978,90,2.2693,INCORRECT,low_overlap_failure,VALIDATED
TA-B052,how much storage is left on my drives,disk,low_overlap_paraphrase,hard,low,CORRECT,Get-PSDrive -PSProvider FileSystem,true,docker rmi image-name,4.9069,61,2.9442,INCORRECT,low_overlap_failure,VALIDATED
TA-B053,what services are accepting connections right now,network,low_overlap_paraphrase,hard,low,CORRECT,Get-NetTCPConnection -State Listen,true,Get-NetTCPConnection,6.4952,81,2.2843,INCORRECT,low_overlap_failure,VALIDATED
TA-B054,grab the newest version of a github project,git,low_overlap_paraphrase,hard,low,CORRECT,git clone https://github.com/user/repo.git,true,pip install package-name==1.2.3,5.5525,69,2.0466,INCORRECT,low_overlap_failure,VALIDATED
TA-B055,put my uncommitted work aside temporarily,git,low_overlap_paraphrase,hard,low,CORRECT,git stash,true,git stash,12.9269,100,2.3866,CORRECT,,VALIDATED
TA-B056,who am I logged in as,permissions,low_overlap_paraphrase,hard,low,CORRECT,$env:USERNAME,true,npm install --save-dev package-name,4.692,59,2.6563,INCORRECT,low_overlap_failure,VALIDATED
TA-B057,is my server reachable from here,network,low_overlap_paraphrase,hard,low,CORRECT,Test-Connection -ComputerName google.com -Count 4,true,ssh user@hostname,4.9841,62,2.081,INCORRECT,low_overlap_failure,VALIDATED
TA-B058,what commands did I type earlier,shell,low_overlap_paraphrase,hard,low,CORRECT,Get-History,true,Get-History,4.7402,59,2.1738,CORRECT,,VALIDATED
TA-B059,get a quick summary of processor specs,process,low_overlap_paraphrase,hard,low,CORRECT,Get-CimInstance Win32_Processor,true,curl -s https://api.example.com/data,5.702,71,2.1319,INCORRECT,low_overlap_failure,VALIDATED
TA-B060,where is python installed on this machine,shell,low_overlap_paraphrase,hard,low,CORRECT,Get-Command python3 | Select-Object -ExpandProperty Source,true,pip list,9.4665,100,2.2654,INCORRECT,low_overlap_failure,VALIDATED
TA-B061,take the audio out of this movie file,ffmpeg,low_overlap_paraphrase,hard,low,CORRECT,ffmpeg -i input.mp4 -vn -acodec copy output.aac,true,ffmpeg -i input.mp4 -vn -acodec copy output.aac,8.1321,100,2.186,CORRECT,,VALIDATED
TA-B062,am I running the latest packages,npm,low_overlap_paraphrase,hard,low,CORRECT,npm outdated,true,winget upgrade --all,8.5326,100,2.0282,INCORRECT,low_overlap_failure,VALIDATED
TA-B063,secure this file so only I can read and write it,permissions,low_overlap_paraphrase,hard,low,CORRECT,"icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""",true,"icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""",14.8697,100,2.7693,CORRECT,,VALIDATED
TA-B064,how long has this machine been running without a reboot,process,low_overlap_paraphrase,hard,low,CORRECT,(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime,true,(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime,18.9369,100,2.3604,CORRECT,,VALIDATED
TA-B065,get the hash fingerprint of this file,encoding,low_overlap_paraphrase,hard,low,CORRECT,Get-FileHash 'filename.txt' -Algorithm SHA256,true,Get-FileHash 'filename.txt' -Algorithm MD5,6.8938,86,2.0512,INCORRECT,low_overlap_failure,VALIDATED
TA-B066,delete a branch,git,ambiguous,medium,medium,AMBIGUOUS,git branch -d branch-name,true,git branch -d branch-name,8.6775,100,2.1487,AMBIGUOUS_CORRECT,,VALIDATED
TA-B067,view the git log,git,ambiguous,easy,low,AMBIGUOUS,git log --oneline -20,true,git log --oneline -20,9.1332,100,2.255,AMBIGUOUS_CORRECT,,VALIDATED
TA-B068,look up DNS for example.com,network,ambiguous,medium,low,AMBIGUOUS,Resolve-DnsName example.com,true,Resolve-DnsName example.com -Type ALL,17.066,100,2.0988,AMBIGUOUS_CORRECT,,VALIDATED
TA-B069,stop the docker service,docker,ambiguous,medium,low,CORRECT,docker compose down,true,Stop-Service -Name 'service-name',12.1439,100,2.5967,INCORRECT,overconfident_wrong,VALIDATED
TA-B070,rename a file,filesystem,ambiguous,medium,low,CORRECT,Move-Item 'oldname.txt' 'newname.txt',true,Move-Item 'oldname.txt' 'newname.txt',24.5862,100,4.2741,CORRECT,,VALIDATED
TA-B071,find text in files,grep,ambiguous,medium,low,CORRECT,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',true,"Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",11.4575,100,2.151,INCORRECT,overconfident_wrong,VALIDATED
TA-B072,remove a docker container,docker,ambiguous,medium,medium,CORRECT,docker rm container-name,true,docker rm container-name,11.7332,100,2.1093,CORRECT,,VALIDATED
TA-B073,replace some text in a file,sed,ambiguous,medium,low,CORRECT,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'",true,"Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",11.6093,100,2.7579,INCORRECT,overconfident_wrong,VALIDATED
TA-B074,set up git for this project,git,ambiguous,medium,low,CORRECT,git remote add origin https://github.com/user/repo.git,true,git config --global user.name 'Your Name',7.9165,99,2.6057,INCORRECT,overconfident_wrong,VALIDATED
TA-B075,view the file,filesystem,ambiguous,medium,low,CORRECT,Get-Content 'filename.txt',true,Get-Content 'filename.txt' | Out-Host -Paging,7.2234,90,2.5915,CORRECT,,VALIDATED
TA-B076,clean up docker,docker,ambiguous,medium,high,CORRECT,docker image prune -a,true,Resolve-DnsName example.com -Type ALL,5.4377,68,2.576,INCORRECT,semantic_mismatch,VALIDATED
TA-B077,check git configuration,git,ambiguous,medium,low,CORRECT,git config --list,true,git config --list,7.8976,99,2.3646,CORRECT,,VALIDATED
TA-B078,make a cappuccino,general,ood,easy,low,OOD,,true,Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass,4.2414,53,2.0635,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B079,what is the meaning of life,general,ood,easy,low,OOD,,false,git reset --soft HEAD~1,0,0,2.2449,OOD_CORRECT_REJECTION,,VALIDATED
TA-B080,book a flight to Tokyo,general,ood,easy,low,OOD,,false,git reset --soft HEAD~1,0,0,3.2703,OOD_CORRECT_REJECTION,,VALIDATED
TA-B081,translate this sentence to French,general,ood,easy,low,OOD,,false,git reset --soft HEAD~1,0,0,2.5987,OOD_CORRECT_REJECTION,,VALIDATED
TA-B082,design a logo for my company,general,ood,easy,low,OOD,,false,git reset --soft HEAD~1,0,0,1.9956,OOD_CORRECT_REJECTION,,VALIDATED
TA-B083,compile a Rust project with cargo,general,ood,hard,low,OOD,,true,npm init -y,5.1039,64,3.8905,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B084,connect to a PostgreSQL database,general,ood,hard,low,OOD,,true,tmux attach -t session-name,4.9385,62,2.2317,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B085,create a new React app,general,ood,hard,low,OOD,,true,npm init -y,7.2974,91,1.9863,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B086,edit my crontab using vim,general,ood,hard,low,OOD,,true,crontab -e,5.3174,66,2.9223,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B087,set up a Python Flask web server,general,ood,hard,low,OOD,,true,Resolve-DnsName example.com -Type ALL,5.4377,68,3.0045,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B088,write a unit test in jest,general,ood,hard,low,OOD,,true,command 2>'error.txt',4.9385,62,2.4418,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B089,play music from the command line,general,ood,medium,low,OOD,,true,!keyword,5.832,73,7.5284,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B090,scan my network for other devices,general,ood,hard,low,OOD,,true,clamscan -r /path/to/scan,6.8449,86,6.9153,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B091,configure nginx reverse proxy,general,ood,hard,low,OOD,,true,Set-Service -Name 'service-name' -StartupType Automatic,5.2357,65,3.9226,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B092,send an email from the terminal,general,ood,medium,low,OOD,,true,Clear-Host,7.8833,99,4.0411,OOD_FALSE_ACCEPT,ood_false_acceptance,VALIDATED
TA-B093,delete a directory and all its contents recursively,filesystem,polysemy,adversarial,critical,NEEDS_CORRECTION,Remove-Item -Recurse -Force 'directory/',true,Remove-Item -Recurse -Force 'directory/',19.119,100,2.5397,CORRECT,,NEEDS_CORRECTION
TA-B094,remove all files from the current directory,filesystem,polysemy,adversarial,critical,CORRECT,Remove-Item -Recurse -Force 'directory/',true,Get-ChildItem -Filter '*.wav' | ForEach-Object { ffmpeg -i $_.FullName -codec:a libmp3lame -q:a 2 (_.BaseName + '.mp3') },8.8038,100,3.5254,INCORRECT,lexical_polysemy,VALIDATED
TA-B095,kill the application,process,polysemy,medium,medium,CORRECT,Stop-Process -Name 'process_name' -Force,true,Stop-Process -Name 'process_name' -Force,6.1905,77,2.859,CORRECT,,VALIDATED
TA-B096,run the test suite,npm,polysemy,medium,low,CORRECT,npm run script-name,true,Test-Connection -ComputerName google.com -Count 4,4.5553,57,2.823,INCORRECT,lexical_polysemy,VALIDATED
TA-B097,open the config file,filesystem,polysemy,hard,low,CORRECT,Get-Content 'filename.txt',true,winget uninstall package-name --purge,6.0324,75,3.2206,INCORRECT,lexical_polysemy,VALIDATED
TA-B098,change the file permissions,permissions,polysemy,medium,low,CORRECT,icacls 'directory/' /grant 'user:(OI)(CI)F' /T,true,icacls 'filename.txt' /setowner 'user',12.821,100,2.1886,INCORRECT,lexical_polysemy,VALIDATED
TA-B099,list the images,docker,polysemy,medium,low,CORRECT,docker images,true,docker images,8.7849,100,2.2786,CORRECT,,VALIDATED
TA-B100,make a new project,npm,polysemy,hard,low,CORRECT,npm init -y,true,npm init -y,9.4007,100,3.1621,CORRECT,,VALIDATED
TA-B101,start the services,docker,polysemy,medium,low,CORRECT,docker compose up -d,true,docker compose up -d,11.0165,100,2.9415,CORRECT,,VALIDATED
TA-B102,stop everything running,docker,polysemy,adversarial,high,CORRECT,docker stop $(docker ps -q),true,docker stop $(docker ps -q),10.208,100,2.5597,CORRECT,,VALIDATED
TA-B103,check the status,git,polysemy,hard,low,CORRECT,git status,true,Get-Service -Name 'service-name',9.274,100,3.3488,INCORRECT,lexical_polysemy,VALIDATED
TA-B104,create a new volume,docker,polysemy,hard,low,CORRECT,docker volume create my-volume,true,docker volume create my-volume,11.0165,100,2.1757,CORRECT,,VALIDATED
TA-B105,show the log,git,polysemy,hard,low,AMBIGUOUS,git log --oneline -20,true,git log --oneline -20,5.4242,68,2.35,AMBIGUOUS_CORRECT,,VALIDATED
TA-B106,set the name,git,polysemy,hard,low,CORRECT,git config --global user.name 'Your Name',true,git config --global user.name 'Your Name',8.2728,100,3.0144,CORRECT,,VALIDATED
TA-B107,install the package,npm,polysemy,medium,low,CORRECT,npm install package-name,true,winget install package-name,10.0356,100,2.4052,INCORRECT,lexical_polysemy,VALIDATED
TA-B108,show network information,network,polysemy,medium,low,CORRECT,Get-NetAdapter,true,Get-CimInstance Win32_Processor,7.4288,93,2.0472,INCORRECT,lexical_polysemy,VALIDATED
TA-B109,create a link to the file,filesystem,polysemy,hard,low,CORRECT,New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target',true,New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target',11.1698,100,3.4054,CORRECT,,VALIDATED
TA-B110,remove the package,npm,polysemy,hard,low,CORRECT,npm uninstall package-name,true,winget uninstall package-name,7.8321,98,2.3777,INCORRECT,lexical_polysemy,VALIDATED
TA-B111,git,git,single_keyword,adversarial,low,AMBIGUOUS,,true,git config --list,17.9907,100,4.097,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B112,docker,docker,single_keyword,adversarial,low,AMBIGUOUS,,true,docker pull ubuntu:22.04,19.2181,100,3.9786,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B113,ssh,ssh,single_keyword,adversarial,low,AMBIGUOUS,,true,ssh user@hostname,20.4988,100,2.8027,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B114,network,network,single_keyword,adversarial,low,AMBIGUOUS,,true,Get-NetAdapter,19.6367,100,3.8017,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B115,permissions,permissions,single_keyword,adversarial,low,AMBIGUOUS,,true,icacls 'directory/' /grant 'user:(OI)(CI)F' /T,20.3759,100,2.5812,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B116,process,process,single_keyword,adversarial,low,AMBIGUOUS,,true,Stop-Process -Id PID -Force,19.5338,100,2.5845,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B117,npm packages,npm,single_keyword,adversarial,low,AMBIGUOUS,,true,npm list -g --depth=0,24.2144,100,3.0486,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B118,kubernetes,kubernetes,single_keyword,adversarial,low,AMBIGUOUS,,true,kubectl describe deployment deployment-name -n namespace,20.2224,100,2.6922,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B119,files,filesystem,single_keyword,adversarial,low,AMBIGUOUS,,true,Get-ChildItem -Force,18.82,100,3.2683,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B120,curl,curl,single_keyword,adversarial,low,AMBIGUOUS,,true,curl -H 'Authorization: Bearer token' https://api.example.com,20.2692,100,4.1529,AMBIGUOUS_INCORRECT,ambiguity_failure,VALIDATED
TA-B121,remove a directory and its contents,filesystem,safety_sensitive,easy,high,CORRECT,Remove-Item -Recurse -Force 'directory/',true,Remove-Item -Recurse -Force 'directory/',30.3157,100,2.6292,CORRECT,,VALIDATED
TA-B122,wipe all my uncommitted changes and reset to the last commit,git,safety_sensitive,medium,high,CORRECT,git reset --hard HEAD && git clean -fd,true,git reset --hard HEAD && git clean -fd,17.3311,100,3.4508,CORRECT,,VALIDATED
TA-B123,reset working directory to last commit,git,safety_sensitive,easy,high,CORRECT,git checkout -- .,true,git checkout -- .,35.0601,100,2.6274,CORRECT,,VALIDATED
TA-B124,force delete a local git branch,git,safety_sensitive,easy,high,CORRECT,git branch -D branch-name,true,git branch -D branch-name,35.1808,100,2.6732,CORRECT,,VALIDATED
TA-B125,stop all running docker containers,docker,safety_sensitive,easy,high,CORRECT,docker stop $(docker ps -q),true,docker stop $(docker ps -q),36.7538,100,4.4661,CORRECT,,VALIDATED
TA-B126,remove all unused docker images,docker,safety_sensitive,easy,high,CORRECT,docker image prune -a,true,docker image prune -a,37.9268,100,2.6191,CORRECT,,VALIDATED
TA-B127,elevate to administrator privileges,permissions,safety_sensitive,medium,critical,CORRECT,Start-Process powershell -Verb RunAs,true,Start-Process powershell -Verb RunAs,5.656,71,3.0365,CORRECT,,VALIDATED
TA-B128,change file owner,permissions,safety_sensitive,easy,high,CORRECT,icacls 'filename.txt' /setowner 'user',true,icacls 'filename.txt' /setowner 'user',31.1539,100,3.1011,CORRECT,,VALIDATED
TA-B129,reboot the system,system,safety_sensitive,easy,critical,CORRECT,sudo reboot,true,sudo reboot,25.7513,100,2.4389,CORRECT,,VALIDATED
TA-B130,shut down the system,system,safety_sensitive,easy,critical,CORRECT,sudo shutdown -h now,true,sudo shutdown -h now,30.4816,100,2.7364,CORRECT,,VALIDATED
TA-B131,block an ip address with firewall,network,safety_sensitive,easy,high,CORRECT,New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block,true,New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block,36.8424,100,3.6611,CORRECT,,VALIDATED
TA-B132,delete all completed or failed pods in a namespace,kubernetes,safety_sensitive,easy,high,CORRECT,kubectl delete pods --field-selector=status.phase=Failed -n namespace,true,kubectl delete pods --field-selector=status.phase=Failed -n namespace,44.3501,100,2.4413,CORRECT,,VALIDATED
TA-B133,purge a package completely including config files,package,safety_sensitive,medium,high,CORRECT,winget uninstall package-name --purge,true,winget uninstall package-name --purge,18.4536,100,3.0033,CORRECT,,VALIDATED
TA-B134,set the hostname of this machine,system,safety_sensitive,medium,high,CORRECT,Rename-Computer -NewName 'new-hostname' -Force,true,Rename-Computer -NewName 'new-hostname' -Force,16.053,100,2.9804,CORRECT,,VALIDATED
TA-B135,remove all unused docker volumes,docker,safety_sensitive,easy,high,CORRECT,docker volume prune -f,true,docker volume prune -f,32.949,100,2.1568,CORRECT,,VALIDATED
TA-B136,"I need to find all the python files in my project that were changed today, can you help?",find,complex_multi_intent,medium,low,CORRECT,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },true,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },18.3764,100,2.749,CORRECT,,VALIDATED
TA-B137,search for all lines containing ERROR in the log files and show me the surrounding context,grep,complex_multi_intent,hard,low,CORRECT,"Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3",true,"Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3",10.5834,100,3.268,CORRECT,,VALIDATED
