id,query,query_type,category,expected_classification,gold_command,actual_command,status,primary_mechanism,confidence,score,bm25_score_before_bonus,bonus_applied,score_gap_top1_top2,tokens,top_candidate_1,top_candidate_2,top_candidate_3,top_candidate_4,top_candidate_5,notes
TA-B083,"compile a Rust project with cargo",ood,general,OOD,"","npm init -y",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,64,5.1039,5.1025,FALSE,0.5481,"compile rust project cargo","npm init -y (score:5.10,bonus:false)","(Get-ChildItem -Recurse -Include '*.py','*.js' | Get-Content | Measure-Object -Line).Lines (score:4.55,bonus:false)","git reset --soft HEAD~1 (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.js' | Select-String -Pattern 'TODO' (score:0.00,bonus:false)","ood_false_acceptance"
TA-B084,"connect to a PostgreSQL database",ood,general,OOD,"","tmux attach -t session-name",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,62,4.9385,4.9366,FALSE,0.5499,"connect postgresql database","tmux attach -t session-name (score:4.94,bonus:false)","ssh user@hostname (score:4.39,bonus:false)","docker network connect my-network container-name (score:4.23,bonus:false)","git reset --soft HEAD~1 (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:0.00,bonus:false)","ood_false_acceptance"
TA-B085,"create a new React app",ood,general,OOD,"","npm init -y",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,91,7.2974,7.2912,FALSE,0.2281,"create new react app","npm init -y (score:7.29,bonus:false)","tmux new -s session-name (score:7.06,bonus:false)","python -m venv venv (score:6.99,bonus:false)","New-Item -ItemType Directory -Path 'path/to/directory' -Force (score:6.99,bonus:false)","git checkout -b branch-name (score:6.78,bonus:false)","ood_false_acceptance"
TA-B086,"edit my crontab using vim",ood,general,OOD,"","crontab -e",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,66,5.3174,5.3157,FALSE,1.5666,"edit my crontab using vim","crontab -e (score:5.32,bonus:false)","git rebase -i HEAD~5 (score:3.75,bonus:false)","curl -O https://example.com/file.zip (score:2.96,bonus:false)","Select-String -Path 'file.txt' -Pattern 'pattern1|pattern2' (score:2.96,bonus:false)","(Get-Content data.json | ConvertFrom-Json).users.Count (score:2.86,bonus:false)","ood_false_acceptance"
TA-B087,"set up a Python Flask web server",ood,general,OOD,"","Resolve-DnsName example.com -Type ALL",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,68,5.4377,5.4368,FALSE,0.1233,"set up python flask web server","Resolve-DnsName example.com -Type ALL (score:5.44,bonus:false)","python -m venv venv (score:5.31,bonus:false)","$env:VAR_NAME = 'value' (score:5.25,bonus:false)","ssh user@hostname (score:4.98,bonus:false)","rsync -avz -e ssh source/ user@host:/destination/ (score:4.98,bonus:false)","ood_false_acceptance"
TA-B088,"write a unit test in jest",ood,general,OOD,"","command 2>'error.txt'",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,62,4.9385,4.9366,FALSE,0.3808,"write unit test jest","command 2>'error.txt' (score:4.94,bonus:false)","command | Out-File 'output.txt' (score:4.56,bonus:false)","Test-Connection -ComputerName google.com -Count 4 (score:4.55,bonus:false)","Test-NetConnection -ComputerName hostname -Port 80 (score:4.40,bonus:false)","icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW"" (score:4.23,bonus:false)","ood_false_acceptance"
TA-B089,"play music from the command line",ood,general,OOD,"","!keyword",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,73,5.832,5.8268,FALSE,0.6489,"play music from command line","!keyword (score:5.83,bonus:false)","(Get-Content 'filename.txt')[4] (score:5.18,bonus:false)","Add-Content 'filename.txt' 'new line' (score:5.18,bonus:false)","Get-Content 'file.txt' | ForEach-Object { ($_ -split '\s+').Count } (score:5.05,bonus:false)","git blame filename.txt (score:4.70,bonus:false)","ood_false_acceptance"
TA-B090,"scan my network for other devices",ood,general,OOD,"","clamscan -r /path/to/scan",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,86,6.8449,6.8419,FALSE,1.7394,"scan my network other devices","clamscan -r /path/to/scan (score:6.84,bonus:false)","npm audit (score:5.10,bonus:false)","Get-NetAdapter (score:4.63,bonus:false)","Test-NetConnection -ComputerName google.com -TraceRoute (score:4.45,bonus:false)","Get-NetTCPConnection (score:4.45,bonus:false)","ood_false_acceptance"
TA-B091,"configure nginx reverse proxy",ood,general,OOD,"","Set-Service -Name 'service-name' -StartupType Automatic",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,65,5.2357,5.2349,FALSE,0.1874,"configure nginx reverse proxy","Set-Service -Name 'service-name' -StartupType Automatic (score:5.23,bonus:false)","ssh -R 9090:localhost:3000 user@hostname (score:5.05,bonus:false)","git reset --soft HEAD~1 (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.js' | Select-String -Pattern 'TODO' (score:0.00,bonus:false)","ood_false_acceptance"
TA-B092,"send an email from the terminal",ood,general,OOD,"","Clear-Host",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,99,7.8833,7.8765,FALSE,0.6810,"send email from terminal","Clear-Host (score:7.88,bonus:false)","git config --global user.email 'email@example.com' (score:7.20,bonus:false)","curl -s https://api.example.com/data (score:3.91,bonus:false)","screen -r session-name (score:3.81,bonus:false)","tmux attach -t session-name (score:3.81,bonus:false)","ood_false_acceptance"
TA-B094,"remove all files from the current directory",polysemy,filesystem,CORRECT,"Remove-Item -Recurse -Force 'directory/'","Get-ChildItem -Filter '*.wav' | ForEach-Object { ffmpeg -i $_.FullName -codec:a libmp3lame -q:a 2 (_.BaseName + '.mp3') }",INCORRECT,POLYSEMOUS_TERM,100,8.8038,8.8134,FALSE,0.3513,"remove all files from current directory","Get-ChildItem -Filter '*.wav' | ForEach-Object { ffmpeg -i $_.FullName -codec:a libmp3lame -q:a 2 (_.BaseName + '.mp3') } (score:8.81,bonus:false)","docker build -t image-name:tag . (score:8.46,bonus:false)","Get-Location (score:7.75,bonus:false)","Get-ChildItem -Recurse -Filter 'filename.txt' (score:7.73,bonus:false)","Remove-Item -Recurse -Force 'directory/' (score:7.14,bonus:false)","lexical_polysemy"
TA-B096,"run the test suite",polysemy,npm,CORRECT,"npm run script-name","Test-Connection -ComputerName google.com -Count 4",INCORRECT,POLYSEMOUS_TERM,57,4.5553,4.5544,FALSE,0.1574,"run test suite","Test-Connection -ComputerName google.com -Count 4 (score:4.55,bonus:false)","Test-NetConnection -ComputerName hostname -Port 80 (score:4.40,bonus:false)","docker run -d -p 8080:80 image-name (score:4.39,bonus:false)","command1 && command2 (score:4.28,bonus:false)","at 10:00 AM tomorrow (score:4.07,bonus:false)","lexical_polysemy"
TA-B097,"open the config file",polysemy,filesystem,CORRECT,"Get-Content 'filename.txt'","winget uninstall package-name --purge",INCORRECT,LEXICAL_OVERLAP,75,6.0324,6.0297,FALSE,0.9623,"open config file","winget uninstall package-name --purge (score:6.03,bonus:false)","Get-Help command -Full (score:5.07,bonus:false)","Test-NetConnection -ComputerName hostname -Port 80 (score:4.58,bonus:false)","winget uninstall package-name (score:4.56,bonus:false)","git config --list (score:4.56,bonus:false)","lexical_polysemy"
TA-B098,"change the file permissions",polysemy,permissions,CORRECT,"icacls 'directory/' /grant 'user:(OI)(CI)F' /T","icacls 'filename.txt' /setowner 'user'",INCORRECT,WRONG_ACTION,100,12.821,12.8106,FALSE,2.7006,"change file permissions","icacls 'filename.txt' /setowner 'user' (score:12.81,bonus:false)","icacls 'directory/' /grant 'user:(OI)(CI)F' /T (score:10.11,bonus:false)","Get-Item 'filename.txt' | Select-Object * (score:6.73,bonus:false)","Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass (score:6.28,bonus:false)","icacls 'filename.txt' /inheritance:r /grant:r 'Everyone:R' (score:6.25,bonus:false)","lexical_polysemy"
TA-B103,"check the status",polysemy,git,CORRECT,"git status","Get-Service -Name 'service-name'",INCORRECT,LOW_SEMANTIC_OVERLAP,100,9.274,9.2684,FALSE,2.3547,"check status","Get-Service -Name 'service-name' (score:9.27,bonus:false)","curl -o /dev/null -s -w '%{http_code}' https://example.com (score:6.91,bonus:false)","git status (score:5.83,bonus:false)","git branch -D branch-name (score:3.85,bonus:false)","$env:USERNAME (score:3.42,bonus:false)","lexical_polysemy"
TA-B107,"install the package",polysemy,npm,CORRECT,"npm install package-name","winget install package-name",INCORRECT,LEXICAL_OVERLAP,100,10.0356,10.0272,FALSE,0.4082,"install package","winget install package-name (score:10.03,bonus:false)","pip install package-name (score:9.62,bonus:false)","npm install package-name (score:9.12,bonus:false)","pip install package-name==1.2.3 (score:9.12,bonus:false)","npm install --save-dev package-name (score:8.66,bonus:false)","lexical_polysemy"
TA-B108,"show network information",polysemy,network,CORRECT,"Get-NetAdapter","Get-CimInstance Win32_Processor",INCORRECT,POLYSEMOUS_TERM,93,7.4288,7.4246,FALSE,1.0229,"show network information","Get-CimInstance Win32_Processor (score:7.42,bonus:false)","Get-NetAdapter (score:6.40,bonus:false)","Test-NetConnection -ComputerName google.com -TraceRoute (score:6.09,bonus:false)","Get-NetTCPConnection (score:6.09,bonus:false)","Get-NetIPAddress (score:5.38,bonus:false)","lexical_polysemy"
TA-B110,"remove the package",polysemy,npm,CORRECT,"npm uninstall package-name","winget uninstall package-name",INCORRECT,POLYSEMOUS_TERM,98,7.8321,7.8254,FALSE,0.0784,"remove package","winget uninstall package-name (score:7.83,bonus:false)","npm uninstall package-name (score:7.75,bonus:false)","pip uninstall package-name (score:7.75,bonus:false)","winget uninstall package-name --purge (score:7.62,bonus:false)","winget install package-name (score:5.09,bonus:false)","lexical_polysemy"
TA-B111,"git",single_keyword,git,AMBIGUOUS,"","git config --list",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,17.9907,2.9857,TRUE,0.0580,"git","git config --list (score:17.99,bonus:true)","git config --global user.name 'Your Name' (score:17.93,bonus:true)","git config --global user.email 'email@example.com' (score:17.93,bonus:true)","git clone https://github.com/user/repo.git (score:17.77,bonus:true)","git tag -a v1.0.0 -m 'Version 1.0.0' (score:17.70,bonus:true)","ambiguity_failure"
TA-B112,"docker",single_keyword,docker,AMBIGUOUS,"","docker pull ubuntu:22.04",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,19.2181,4.2128,TRUE,0.3066,"docker","docker pull ubuntu:22.04 (score:19.21,bonus:true)","docker rmi image-name (score:18.91,bonus:true)","docker stop $(docker ps -q) (score:18.83,bonus:true)","docker image prune -a (score:18.83,bonus:true)","docker images (score:18.83,bonus:true)","ambiguity_failure"
TA-B113,"ssh",single_keyword,ssh,AMBIGUOUS,"","ssh user@hostname",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,20.4988,5.4948,TRUE,0.0000,"ssh","ssh user@hostname (score:20.49,bonus:true)","ssh-keygen -t ed25519 -C 'your_email@example.com' (score:20.49,bonus:true)","ssh -R 9090:localhost:3000 user@hostname (score:20.39,bonus:true)","ssh-copy-id user@hostname (score:20.19,bonus:true)","ssh -L 8080:localhost:80 user@hostname (score:20.10,bonus:true)","ambiguity_failure"
TA-B114,"network",single_keyword,network,AMBIGUOUS,"","Get-NetAdapter",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,19.6367,4.6320,TRUE,0.1801,"network","Get-NetAdapter (score:19.63,bonus:true)","Test-NetConnection -ComputerName google.com -TraceRoute (score:19.45,bonus:true)","Get-NetTCPConnection (score:19.45,bonus:true)","Get-NetAdapterStatistics (score:19.45,bonus:true)","docker network create my-network (score:19.00,bonus:true)","ambiguity_failure"
TA-B115,"permissions",single_keyword,permissions,AMBIGUOUS,"","icacls 'directory/' /grant 'user:(OI)(CI)F' /T",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,20.3759,5.3714,TRUE,0.8534,"permissions","icacls 'directory/' /grant 'user:(OI)(CI)F' /T (score:20.37,bonus:true)","icacls 'filename.txt' /inheritance:r /grant:r 'Everyone:R' (score:19.52,bonus:true)","Get-Item 'filename.txt' | Select-Object * (score:19.41,bonus:true)","icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW"" (score:19.41,bonus:true)","Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass (score:3.70,bonus:false)","ambiguity_failure"
TA-B116,"process",single_keyword,process,AMBIGUOUS,"","Stop-Process -Id PID -Force",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,19.5338,4.5290,TRUE,0.2570,"process","Stop-Process -Id PID -Force (score:19.53,bonus:true)","Get-Process -Name 'process_name' | Select-Object Id (score:19.27,bonus:true)","Get-Process | Select-Object Id, ProcessName, @{N='Parent';E={(Get-Process -Id $_.Parent.Id -ErrorAction SilentlyContinue).ProcessName}} (score:19.05,bonus:true)","Get-Process | Sort-Object CPU -Descending | Select-Object -First 20 (score:19.05,bonus:true)","Stop-Process -Name 'process_name' -Force (score:18.84,bonus:true)","ambiguity_failure"
TA-B117,"npm packages",single_keyword,npm,AMBIGUOUS,"","npm list -g --depth=0",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,24.2144,9.2073,TRUE,0.6403,"npm packages","npm list -g --depth=0 (score:24.21,bonus:true)","npm update (score:23.57,bonus:true)","npm outdated (score:23.57,bonus:true)","npm audit (score:23.08,bonus:true)","npm install (score:22.59,bonus:true)","ambiguity_failure"
TA-B118,"kubernetes",single_keyword,kubernetes,AMBIGUOUS,"","kubectl describe deployment deployment-name -n namespace",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,20.2224,5.2184,TRUE,0.0000,"kubernetes","kubectl describe deployment deployment-name -n namespace (score:20.22,bonus:true)","kubectl scale deployment deployment-name --replicas=3 -n namespace (score:20.22,bonus:true)","kubectl apply -f manifest.yaml (score:20.12,bonus:true)","kubectl port-forward pod/pod-name 8080:80 -n namespace (score:20.03,bonus:true)","kubectl exec -it pod-name -n namespace -- /bin/sh (score:19.94,bonus:true)","ambiguity_failure"
TA-B119,"files",single_keyword,filesystem,AMBIGUOUS,"","Get-ChildItem -Force",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,18.82,3.8158,TRUE,0.2557,"files","Get-ChildItem -Force (score:18.82,bonus:true)","Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string' (score:18.56,bonus:true)","Compare-Object (Get-Content 'file1.txt') (Get-Content 'file2.txt') (score:18.56,bonus:true)","rsync -avz source/ destination/ (score:18.56,bonus:true)","Get-ChildItem -Recurse -Filter '*.log' (score:18.47,bonus:true)","ambiguity_failure"
TA-B120,"curl",single_keyword,curl,AMBIGUOUS,"","curl -H 'Authorization: Bearer token' https://api.example.com",AMBIGUOUS_INCORRECT,EXACT_INTENT_OVERMATCH,100,20.2692,5.2649,TRUE,0.3723,"curl","curl -H 'Authorization: Bearer token' https://api.example.com (score:20.26,bonus:true)","curl -L https://example.com (score:19.89,bonus:true)","curl -s https://api.example.com/data (score:19.76,bonus:true)","curl -o output.html https://example.com (score:19.76,bonus:true)","curl -C - -O https://example.com/largefile.zip (score:19.76,bonus:true)","ambiguity_failure"
TA-B138,"deploy my kubernetes cluster to production with rolling updates",complex_multi_intent,kubernetes,CORRECT,"kubectl apply -f manifest.yaml","kubectl get events --sort-by='.lastTimestamp' -n namespace",INCORRECT,WRONG_ACTION,100,8.578,8.5747,FALSE,0.2376,"deploy my kubernetes cluster production rolling updates","kubectl get events --sort-by='.lastTimestamp' -n namespace (score:8.57,bonus:false)","kubectl get pods --all-namespaces (score:8.34,bonus:false)","kubectl describe deployment deployment-name -n namespace (score:5.22,bonus:false)","kubectl scale deployment deployment-name --replicas=3 -n namespace (score:5.22,bonus:false)","kubectl apply -f manifest.yaml (score:5.12,bonus:false)","complex_intent_failure"
