id,query_type,expected_classification,gold_command,retrieved_command,top1_score,tags
TA-B031,paraphrase,CORRECT,"New-Item -ItemType Directory -Path 'path/to/directory' -Force","New-Item -ItemType Directory -Path 'path/to/directory' -Force",0.9877,"CORRECT"
TA-B032,paraphrase,CORRECT,"Get-NetTCPConnection -State Listen","Get-NetTCPConnection -State Listen",1,"CORRECT"
TA-B033,paraphrase,CORRECT,"Get-ChildItem Env:","Get-ChildItem Env:",1,"CORRECT"
TA-B034,paraphrase,CORRECT,"Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }",1,"CORRECT"
TA-B035,paraphrase,CORRECT,"git stash","git stash",1,"CORRECT"
TA-B036,paraphrase,CORRECT,"Copy-Item -Recurse 'source/' 'destination/'","Copy-Item -Recurse 'source/' 'destination/'",1,"CORRECT"
TA-B037,paraphrase,CORRECT,"pip list","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }",0.8327,"SEMANTIC_MISMATCH|HIGH_CONFIDENCE_WRONG"
TA-B038,paraphrase,CORRECT,"git merge branch-name","git merge branch-name",1,"CORRECT"
TA-B039,paraphrase,CORRECT,"docker exec -it container-name /bin/bash","docker exec -it container-name /bin/bash",1,"CORRECT"
TA-B040,paraphrase,CORRECT,"docker compose up -d","docker compose up -d",1,"CORRECT"
TA-B041,paraphrase,CORRECT,"ssh-keygen -t ed25519 -C 'your_email@example.com'","ssh-keygen -t ed25519 -C 'your_email@example.com'",1,"CORRECT"
TA-B042,paraphrase,CORRECT,"curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint","curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint",1,"CORRECT"
TA-B043,paraphrase,CORRECT,"Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'","Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'",1,"CORRECT"
TA-B044,paraphrase,CORRECT,"Stop-Process -Id PID -Force","Stop-Process -Id PID -Force",1,"CORRECT"
TA-B045,paraphrase,CORRECT,"git diff","git diff --cached",0.8847,"SEMANTIC_MISMATCH|HIGH_CONFIDENCE_WRONG"
TA-B046,paraphrase,CORRECT,"ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4","ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4",1,"CORRECT"
TA-B047,paraphrase,CORRECT,"Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory","Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory",0.9623,"CORRECT"
TA-B048,paraphrase,CORRECT,"Set-Alias -Name ll -Value Get-ChildItem","Set-Alias -Name ll -Value Get-ChildItem",1,"CORRECT"
TA-B049,paraphrase,CORRECT,"npm outdated","npm outdated",1,"CORRECT"
TA-B050,paraphrase,CORRECT,"openssl s_client -connect example.com:443 -showcerts","openssl s_client -connect example.com:443 -showcerts",1,"CORRECT"
TA-B051,low_overlap_paraphrase,CORRECT,"git reset --soft HEAD~1","git remote add origin https://github.com/user/repo.git",0.8591,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B052,low_overlap_paraphrase,CORRECT,"Get-PSDrive -PSProvider FileSystem","docker volume create my-volume",0.7006,"LOW_OVERLAP_FAILURE"
TA-B053,low_overlap_paraphrase,CORRECT,"Get-NetTCPConnection -State Listen","Get-NetTCPConnection",1,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B054,low_overlap_paraphrase,CORRECT,"git clone https://github.com/user/repo.git","git tag --sort=-version:refname",0.9592,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B055,low_overlap_paraphrase,CORRECT,"git stash","git stash",1,"CORRECT"
TA-B056,low_overlap_paraphrase,CORRECT,"$env:USERNAME","Get-LocalUser | Select-Object Name",0.7,"LOW_OVERLAP_FAILURE"
TA-B057,low_overlap_paraphrase,CORRECT,"Test-Connection -ComputerName google.com -Count 4","ssh user@hostname",0.9784,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B058,low_overlap_paraphrase,CORRECT,"Get-History","Get-History",0.9895,"CORRECT"
TA-B059,low_overlap_paraphrase,CORRECT,"Get-CimInstance Win32_Processor","Get-CimInstance Win32_Processor",0.9976,"CORRECT"
TA-B060,low_overlap_paraphrase,CORRECT,"Get-Command python3 | Select-Object -ExpandProperty Source","pip list",0.8851,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B061,low_overlap_paraphrase,CORRECT,"ffmpeg -i input.mp4 -vn -acodec copy output.aac","ffmpeg -i input.mp4 -vn -acodec copy output.aac",1,"CORRECT"
TA-B062,low_overlap_paraphrase,CORRECT,"npm outdated","winget upgrade --all",0.9807,"LOW_OVERLAP_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B063,low_overlap_paraphrase,CORRECT,"icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""","icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""",0.9373,"CORRECT"
TA-B064,low_overlap_paraphrase,CORRECT,"(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime","(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime",1,"CORRECT"
TA-B065,low_overlap_paraphrase,CORRECT,"Get-FileHash 'filename.txt' -Algorithm SHA256","Get-FileHash 'filename.txt' -Algorithm SHA256",1,"CORRECT"
TA-B066,ambiguous,AMBIGUOUS,"git branch -d branch-name","git branch -d branch-name",1,"CORRECT"
TA-B067,ambiguous,AMBIGUOUS,"git log --oneline -20","git log --oneline -20",1,"CORRECT"
TA-B068,ambiguous,AMBIGUOUS,"Resolve-DnsName example.com","Resolve-DnsName example.com -Type ALL",1,"CORRECT"
TA-B069,ambiguous,CORRECT,"docker compose down","docker stop $(docker ps -q)",0.9063,"SEMANTIC_MISMATCH|HIGH_CONFIDENCE_WRONG"
TA-B070,ambiguous,CORRECT,"Move-Item 'oldname.txt' 'newname.txt'","Move-Item 'oldname.txt' 'newname.txt'",1,"CORRECT"
TA-B071,ambiguous,CORRECT,"Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string'","Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",0.8978,"SEMANTIC_MISMATCH|HIGH_CONFIDENCE_WRONG"
TA-B072,ambiguous,CORRECT,"docker rm container-name","docker rm container-name",1,"CORRECT"
TA-B073,ambiguous,CORRECT,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'","(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'",0.9855,"CORRECT"
TA-B074,ambiguous,CORRECT,"git remote add origin https://github.com/user/repo.git","git config --global user.name 'Your Name'",0.9219,"SEMANTIC_MISMATCH|HIGH_CONFIDENCE_WRONG"
TA-B075,ambiguous,CORRECT,"Get-Content 'filename.txt'","Get-Content 'filename.txt' | Out-Host -Paging",0.9961,"CORRECT"
TA-B076,ambiguous,CORRECT,"docker image prune -a","docker image prune -a",0.9116,"CORRECT"
TA-B077,ambiguous,CORRECT,"git config --list","git config --list",1,"CORRECT"
TA-B078,ood,OOD,"","npm update",0.7,"OOD_FALSE_ACCEPTANCE"
TA-B079,ood,OOD,"","winver",0.7,"OOD_FALSE_ACCEPTANCE"
TA-B080,ood,OOD,"","kubectl port-forward pod/pod-name 8080:80 -n namespace",0.7,"OOD_FALSE_ACCEPTANCE"
TA-B081,ood,OOD,"","git commit --amend -m 'New commit message'",0.7,"OOD_FALSE_ACCEPTANCE"
TA-B082,ood,OOD,"","openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365 -nodes",0.5,"OOD_FALSE_ACCEPTANCE"
TA-B083,ood,OOD,"","npm init -y",0.8134,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B084,ood,OOD,"","ssh user@hostname",0.9646,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B085,ood,OOD,"","npm init -y",1,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B086,ood,OOD,"","crontab -e",1,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B087,ood,OOD,"","python -m venv venv",0.9889,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B088,ood,OOD,"","Test-Connection -ComputerName google.com -Count 4",0.8258,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B089,ood,OOD,"","Set-Alias -Name ll -Value Get-ChildItem",0.888,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B090,ood,OOD,"","Test-NetConnection -ComputerName google.com -TraceRoute",0.8922,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B091,ood,OOD,"","ssh -R 9090:localhost:3000 user@hostname",0.9702,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B092,ood,OOD,"","git config --global user.email 'email@example.com'",0.9739,"OOD_FALSE_ACCEPTANCE|HIGH_CONFIDENCE_WRONG"
TA-B093,polysemy,NEEDS_CORRECTION,"Remove-Item -Recurse -Force 'directory/'","Remove-Item -Recurse -Force 'directory/'",1,"CORRECT"
TA-B094,polysemy,CORRECT,"Remove-Item -Recurse -Force 'directory/'","Remove-Item -Recurse -Force 'directory/'",0.9436,"CORRECT"
TA-B095,polysemy,CORRECT,"Stop-Process -Name 'process_name' -Force","Stop-Process -Name 'process_name' -Force",1,"CORRECT"
TA-B096,polysemy,CORRECT,"npm run script-name","Test-Connection -ComputerName google.com -Count 4",0.9324,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B097,polysemy,CORRECT,"Get-Content 'filename.txt'","winget uninstall package-name --purge",0.935,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B098,polysemy,CORRECT,"icacls 'directory/' /grant 'user:(OI)(CI)F' /T","icacls 'filename.txt' /setowner 'user'",1,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B099,polysemy,CORRECT,"docker images","docker images",1,"CORRECT"
TA-B100,polysemy,CORRECT,"npm init -y","npm init -y",1,"CORRECT"
TA-B101,polysemy,CORRECT,"docker compose up -d","docker compose up -d",0.9029,"CORRECT"
TA-B102,polysemy,CORRECT,"docker stop $(docker ps -q)","docker stop $(docker ps -q)",1,"CORRECT"
TA-B103,polysemy,CORRECT,"git status","Get-Service -Name 'service-name'",0.998,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B104,polysemy,CORRECT,"docker volume create my-volume","docker volume create my-volume",1,"CORRECT"
TA-B105,polysemy,AMBIGUOUS,"git log --oneline -20","git log --oneline -20",0.9395,"CORRECT"
TA-B106,polysemy,CORRECT,"git config --global user.name 'Your Name'","git config --global user.name 'Your Name'",0.8946,"CORRECT"
TA-B107,polysemy,CORRECT,"npm install package-name","winget install package-name",1,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B108,polysemy,CORRECT,"Get-NetAdapter","Get-NetAdapter",0.9588,"CORRECT"
TA-B109,polysemy,CORRECT,"New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target'","New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target'",1,"CORRECT"
TA-B110,polysemy,CORRECT,"npm uninstall package-name","winget uninstall package-name",0.9943,"LEXICAL_POLYSEMY|HIGH_CONFIDENCE_WRONG"
TA-B111,single_keyword,AMBIGUOUS,"","git add -A",0.9919,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B112,single_keyword,AMBIGUOUS,"","docker inspect container-name",0.9894,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B113,single_keyword,AMBIGUOUS,"","ssh user@hostname",1,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B114,single_keyword,AMBIGUOUS,"","Get-NetTCPConnection",0.9972,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B115,single_keyword,AMBIGUOUS,"","icacls 'directory/' /grant 'user:(OI)(CI)F' /T",1,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B116,single_keyword,AMBIGUOUS,"","Get-Process | Sort-Object CPU -Descending | Select-Object -First 20",0.9926,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B117,single_keyword,AMBIGUOUS,"","npm update",0.9617,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B118,single_keyword,AMBIGUOUS,"","kubectl describe deployment deployment-name -n namespace",1,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B119,single_keyword,AMBIGUOUS,"","rsync -avz source/ destination/",0.9959,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B120,single_keyword,AMBIGUOUS,"","curl -s https://api.example.com/data",0.9905,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B121,safety_sensitive,CORRECT,"Remove-Item -Recurse -Force 'directory/'","Remove-Item -Recurse -Force 'directory/'",1,"CORRECT"
TA-B122,safety_sensitive,CORRECT,"git reset --hard HEAD && git clean -fd","git reset --hard HEAD && git clean -fd",0.9991,"CORRECT"
TA-B123,safety_sensitive,CORRECT,"git checkout -- .","git checkout -- .",1,"CORRECT"
TA-B124,safety_sensitive,CORRECT,"git branch -D branch-name","git branch -D branch-name",0.9817,"CORRECT"
TA-B125,safety_sensitive,CORRECT,"docker stop $(docker ps -q)","docker stop $(docker ps -q)",1,"CORRECT"
TA-B126,safety_sensitive,CORRECT,"docker image prune -a","docker image prune -a",1,"CORRECT"
TA-B127,safety_sensitive,CORRECT,"Start-Process powershell -Verb RunAs","Start-Process powershell -Verb RunAs",1,"CORRECT"
TA-B128,safety_sensitive,CORRECT,"icacls 'filename.txt' /setowner 'user'","icacls 'filename.txt' /setowner 'user'",1,"CORRECT"
TA-B129,safety_sensitive,CORRECT,"sudo reboot","sudo reboot",1,"CORRECT"
TA-B130,safety_sensitive,CORRECT,"sudo shutdown -h now","sudo shutdown -h now",1,"CORRECT"
TA-B131,safety_sensitive,CORRECT,"New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block","New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block",1,"CORRECT"
TA-B132,safety_sensitive,CORRECT,"kubectl delete pods --field-selector=status.phase=Failed -n namespace","kubectl delete pods --field-selector=status.phase=Failed -n namespace",1,"CORRECT"
TA-B133,safety_sensitive,CORRECT,"winget uninstall package-name --purge","winget uninstall package-name --purge",1,"CORRECT"
TA-B134,safety_sensitive,CORRECT,"Rename-Computer -NewName 'new-hostname' -Force","Rename-Computer -NewName 'new-hostname' -Force",1,"CORRECT"
TA-B135,safety_sensitive,CORRECT,"docker volume prune -f","docker volume prune -f",1,"CORRECT"
TA-B136,complex_multi_intent,CORRECT,"Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }",1,"CORRECT"
TA-B137,complex_multi_intent,CORRECT,"Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3","Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3",0.9631,"CORRECT"
TA-B138,complex_multi_intent,CORRECT,"kubectl apply -f manifest.yaml","kubectl describe deployment deployment-name -n namespace",0.8826,"WRONG_SCOPE|HIGH_CONFIDENCE_WRONG"
TA-B139,complex_multi_intent,CORRECT,"git blame filename.txt","git blame filename.txt",1,"CORRECT"
TA-B140,complex_multi_intent,CORRECT,"ssh-copy-id user@hostname","ssh-copy-id user@hostname",1,"CORRECT"
TA-B141,complex_multi_intent,CORRECT,"git bisect start && git bisect bad HEAD && git bisect good <good-commit>","git bisect start && git bisect bad HEAD && git bisect good <good-commit>",1,"CORRECT"
TA-B142,complex_multi_intent,CORRECT,"git rebase -i HEAD~5","git rebase -i HEAD~5",1,"CORRECT"
TA-B143,complex_multi_intent,CORRECT,"Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'","Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'",1,"CORRECT"
TA-B144,complex_multi_intent,CORRECT,"kubectl port-forward pod/pod-name 8080:80 -n namespace","kubectl port-forward pod/pod-name 8080:80 -n namespace",1,"CORRECT"
TA-B145,complex_multi_intent,NEEDS_CORRECTION,"ssh -L 5432:localhost:5432 user@hostname","ssh -R 9090:localhost:3000 user@hostname",0.9842,"WRONG_SCOPE|HIGH_CONFIDENCE_WRONG"
TA-B146,complex_multi_intent,CORRECT,"Get-Process | Sort-Object CPU -Descending","Get-Process | Sort-Object CPU -Descending",1,"CORRECT"
TA-B147,complex_multi_intent,CORRECT,"gpg -c filename.txt","gpg -c filename.txt",1,"CORRECT"
TA-B148,complex_multi_intent,CORRECT,"curl -C - -O https://example.com/largefile.zip","curl -C - -O https://example.com/largefile.zip",1,"CORRECT"
TA-B149,complex_multi_intent,CORRECT,"Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }","Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }",1,"CORRECT"
TA-B150,complex_multi_intent,CORRECT,"git checkout feature-branch -- path/to/file.txt","git checkout feature-branch -- path/to/file.txt",1,"CORRECT"
