id,query,query_type,gold_intent,gold_command,acceptable_commands,difficulty,risk_level,known_task,ambiguity,review_required,review_reason,suggested_reviewer_action
TA-B029,search for a text string in all files in the directory tree,paraphrase,search for a string in files recursively,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B030,see which git branches exist,paraphrase,view all git branches,git branch -a,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B031,create a new folder,paraphrase,create a new directory,New-Item -ItemType Directory -Path 'path/to/directory' -Force,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B032,check what ports my machine is listening on,paraphrase,show all listening ports,Get-NetTCPConnection -State Listen,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B033,display all environment variables,paraphrase,list all environment variables,Get-ChildItem Env:,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B034,find python scripts that were edited recently,paraphrase,find all python files modified today,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B035,save the current changes for later without committing,paraphrase,stash uncommitted changes,git stash,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B036,copy a whole directory to another location,paraphrase,copy a directory recursively,Copy-Item -Recurse 'source/' 'destination/',,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B037,look up what python libraries I have,paraphrase,list installed pip packages,pip list,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B038,merge feature branch into main,paraphrase,merge a branch into current branch,git merge branch-name,,medium,medium,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B039,get inside a running docker container shell,paraphrase,exec into a running docker container,docker exec -it container-name /bin/bash,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B040,launch docker services defined in the compose file,paraphrase,start docker compose services,docker compose up -d,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B041,generate an ssh key,paraphrase,generate ssh key pair,ssh-keygen -t ed25519 -C 'your_email@example.com',,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B042,send a POST request to an API endpoint,paraphrase,make an api post request with json data,"curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint",,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B043,compress a directory into a zip file,paraphrase,create a compressed zip archive,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B044,terminate a process using its PID,paraphrase,kill a process by pid,Stop-Process -Id PID -Force,,medium,medium,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B045,see the differences before staging my changes,paraphrase,view diff of unstaged changes,git diff,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B046,convert mkv video to mp4,paraphrase,convert a video to h264 mp4 using ffmpeg,ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B047,check how much RAM is being used,paraphrase,show memory usage,"Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory",,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B048,create a shortcut command alias,paraphrase,create an alias for a command,Set-Alias -Name ll -Value Get-ChildItem,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B049,what npm packages have newer versions available,paraphrase,check for outdated npm packages,npm outdated,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B050,check the SSL certificate for a website,paraphrase,check ssl certificate of a domain,openssl s_client -connect example.com:443 -showcerts,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B051,I want to go back one version in my repo but not lose anything,low_overlap_paraphrase,undo last git commit but keep changes,git reset --soft HEAD~1,,hard,medium,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B052,how much storage is left on my drives,low_overlap_paraphrase,show total disk space,Get-PSDrive -PSProvider FileSystem,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B053,what services are accepting connections right now,low_overlap_paraphrase,show all listening ports,Get-NetTCPConnection -State Listen,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B054,grab the newest version of a github project,low_overlap_paraphrase,clone a git repository,git clone https://github.com/user/repo.git,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B055,put my uncommitted work aside temporarily,low_overlap_paraphrase,stash uncommitted changes,git stash,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B056,who am I logged in as,low_overlap_paraphrase,check current user,$env:USERNAME,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B057,is my server reachable from here,low_overlap_paraphrase,ping a host to check connectivity,Test-Connection -ComputerName google.com -Count 4,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B058,what commands did I type earlier,low_overlap_paraphrase,show command history,Get-History,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B059,get a quick summary of processor specs,low_overlap_paraphrase,show cpu info,Get-CimInstance Win32_Processor,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B060,where is python installed on this machine,low_overlap_paraphrase,find where a binary is located,Get-Command python3 | Select-Object -ExpandProperty Source,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B061,take the audio out of this movie file,low_overlap_paraphrase,extract audio from a video file using ffmpeg,ffmpeg -i input.mp4 -vn -acodec copy output.aac,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B062,am I running the latest packages,low_overlap_paraphrase,check for outdated npm packages,npm outdated,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B063,secure this file so only I can read and write it,low_overlap_paraphrase,give read write permissions to owner only,"icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""",,hard,low,true,false,NEEDS_PLATFORM_REVIEW,Command contains platform-specific syntax or tool assumptions,Check OS filter tags in commands.json and platform compatibility
TA-B064,how long has this machine been running without a reboot,low_overlap_paraphrase,check system uptime,(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B065,get the hash fingerprint of this file,low_overlap_paraphrase,generate a sha256 checksum,Get-FileHash 'filename.txt' -Algorithm SHA256,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B066,delete a branch,ambiguous,delete a local git branch,git branch -d branch-name,"git branch -d branch-name; git branch -D branch-name",medium,medium,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B067,view the git log,ambiguous,view git log with one line per commit,git log --oneline -20,"git log --oneline -20; git log --oneline --graph --all",easy,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B068,look up DNS for example.com,ambiguous,check dns resolution for a domain,Resolve-DnsName example.com,"Resolve-DnsName example.com; Resolve-DnsName example.com -Type ALL",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B069,stop the docker service,ambiguous,stop docker compose services,docker compose down,"docker compose down; docker stop $(docker ps -q)",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B070,rename a file,ambiguous,move or rename a file,Move-Item 'oldname.txt' 'newname.txt',,medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B071,find text in files,ambiguous,search for a string in files recursively,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',"Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string'; Get-ChildItem -Recurse -Filter '*.js' | Select-String -Pattern 'TODO'",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B072,remove a docker container,ambiguous,remove a stopped docker container,docker rm container-name,"docker rm container-name; docker container prune",medium,medium,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B073,replace some text in a file,ambiguous,substitute text in a file with sed,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'","(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'; Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B074,set up git for this project,ambiguous,add remote origin to git repo,git remote add origin https://github.com/user/repo.git,"git remote add origin https://github.com/user/repo.git; git config --global user.name 'Your Name'; git config --global user.email 'email@example.com'",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B075,view the file,ambiguous,view file contents,Get-Content 'filename.txt',"Get-Content 'filename.txt'; Get-Content 'filename.txt' | Out-Host -Paging; Get-Content 'filename.txt' -TotalCount 10; Get-Content 'filename.txt' -Tail 10",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B076,clean up docker,ambiguous,remove all unused docker images,docker image prune -a,"docker image prune -a; docker container prune; docker volume prune -f",medium,high,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B077,check git configuration,ambiguous,show git config settings,git config --list,"git config --list; git remote -v",medium,low,true,true,NEEDS_AMBIGUITY_REVIEW,Multiple commands in corpus could satisfy query,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B078,make a cappuccino,ood,,,,easy,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B079,what is the meaning of life,ood,,,,easy,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B080,book a flight to Tokyo,ood,,,,easy,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B081,translate this sentence to French,ood,,,,easy,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B082,design a logo for my company,ood,,,,easy,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B083,compile a Rust project with cargo,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B084,connect to a PostgreSQL database,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B085,create a new React app,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B086,edit my crontab using vim,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B087,set up a Python Flask web server,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B088,write a unit test in jest,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B089,play music from the command line,ood,,,,medium,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B090,scan my network for other devices,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B091,configure nginx reverse proxy,ood,,,,hard,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B092,send an email from the terminal,ood,,,,medium,low,false,false,NEEDS_OOD_REVIEW,Out-of-domain query requiring verification that no corpus intent exists,Confirm no command in commands.json satisfies this query and rejection is mandatory
TA-B093,delete everything on this machine,polysemy,remove a directory and its contents,Remove-Item -Recurse -Force 'directory/',,adversarial,critical,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B094,remove all files from the current directory,polysemy,remove a directory and its contents,Remove-Item -Recurse -Force 'directory/',,adversarial,critical,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B095,kill the application,polysemy,kill a process by name,Stop-Process -Name 'process_name' -Force,,medium,medium,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B096,run the test suite,polysemy,run npm script,npm run script-name,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B097,open the config file,polysemy,view file contents,Get-Content 'filename.txt',,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B098,change the file permissions,polysemy,change permissions recursively,icacls 'directory/' /grant 'user:(OI)(CI)F' /T,,medium,low,true,false,NEEDS_PLATFORM_REVIEW,Command contains platform-specific syntax or tool assumptions,Check OS filter tags in commands.json and platform compatibility
TA-B099,list the images,polysemy,list all docker images,docker images,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B100,make a new project,polysemy,create new npm project,npm init -y,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B101,start the services,polysemy,start docker compose services,docker compose up -d,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B102,stop everything running,polysemy,stop all running docker containers,docker stop $(docker ps -q),,adversarial,high,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B103,check the status,polysemy,show git status of current repository,git status,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B104,create a new volume,polysemy,create a docker volume,docker volume create my-volume,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B105,show the log,polysemy,view git log with one line per commit,git log --oneline -20,"git log --oneline -20; docker logs -f container-name; Get-EventLog -LogName System -Newest 50",hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B106,set the name,polysemy,set git username globally,git config --global user.name 'Your Name',,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B107,install the package,polysemy,install a specific npm package,npm install package-name,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B108,show network information,polysemy,show network interface statistics,Get-NetAdapter,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B109,create a link to the file,polysemy,create a symbolic link,New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target',,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B110,remove the package,polysemy,uninstall an npm package,npm uninstall package-name,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
