id,query,gold_intent,gold_command,acceptable_commands,category,difficulty,query_type,risk_level,known_task,ambiguity,requires_rejection,source_intent_id,notes,annotation_status
TA-B054,grab the newest version of a github project,clone a git repository,git clone https://github.com/user/repo.git,,git,hard,low_overlap_paraphrase,low,true,false,false,37,,needs_review
TA-B055,put my uncommitted work aside temporarily,stash uncommitted changes,git stash,,git,hard,low_overlap_paraphrase,low,true,false,false,28,,needs_review
TA-B056,who am I logged in as,check current user,$env:USERNAME,,permissions,hard,low_overlap_paraphrase,low,true,false,false,123,,needs_review
TA-B057,is my server reachable from here,ping a host to check connectivity,Test-Connection -ComputerName google.com -Count 4,,network,hard,low_overlap_paraphrase,low,true,false,false,128,,needs_review
TA-B058,what commands did I type earlier,show command history,Get-History,,shell,hard,low_overlap_paraphrase,low,true,false,false,177,,needs_review
TA-B059,get a quick summary of processor specs,show cpu info,Get-CimInstance Win32_Processor,,process,hard,low_overlap_paraphrase,low,true,false,false,144,,needs_review
TA-B060,where is python installed on this machine,find where a binary is located,Get-Command python3 | Select-Object -ExpandProperty Source,,shell,hard,low_overlap_paraphrase,low,true,false,false,190,,needs_review
TA-B061,take the audio out of this movie file,extract audio from a video file using ffmpeg,ffmpeg -i input.mp4 -vn -acodec copy output.aac,,ffmpeg,hard,low_overlap_paraphrase,low,true,false,false,263,,needs_review
TA-B062,am I running the latest packages,check for outdated npm packages,npm outdated,,npm,hard,low_overlap_paraphrase,low,true,false,false,89,Very low overlap with 'check for outdated npm packages',needs_review
TA-B063,secure this file so only I can read and write it,give read write permissions to owner only,"icacls 'filename.txt' /inheritance:r /grant:r ""${env:USERNAME}:RW""",,permissions,hard,low_overlap_paraphrase,low,true,false,false,121,,needs_review
TA-B064,how long has this machine been running without a reboot,check system uptime,(Get-Date) - (gcim Win32_OperatingSystem).LastBootUpTime,,process,hard,low_overlap_paraphrase,low,true,false,false,148,,needs_review
TA-B065,get the hash fingerprint of this file,generate a sha256 checksum,Get-FileHash 'filename.txt' -Algorithm SHA256,,encoding,hard,low_overlap_paraphrase,low,true,false,false,171,,needs_review
TA-B066,delete a branch,delete a local git branch,git branch -d branch-name,git branch -d branch-name; git branch -D branch-name,git,medium,ambiguous,medium,true,true,false,31,Could be soft delete (git branch -d) or force delete (git branch -D),needs_review
TA-B067,view the git log,view git log with one line per commit,git log --oneline -20,git log --oneline -20; git log --oneline --graph --all,git,easy,ambiguous,low,true,true,false,17,Could be simple oneline log or graph log,needs_review
TA-B068,look up DNS for example.com,check dns resolution for a domain,Resolve-DnsName example.com,Resolve-DnsName example.com; Resolve-DnsName example.com -Type ALL,network,medium,ambiguous,low,true,true,false,130,Could be simple resolution or full record lookup (Type ALL),needs_review
TA-B069,stop the docker service,stop docker compose services,docker compose down,docker compose down,docker,medium,ambiguous,low,true,false,false,70,Could mean docker compose down or stop all containers,needs_review
TA-B070,rename a file,move or rename a file,Move-Item 'oldname.txt' 'newname.txt',,filesystem,medium,ambiguous,low,true,false,false,105,move or rename — same command but ambiguous intent for user,needs_review
TA-B071,find text in files,search for a string in files recursively,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',grep,medium,ambiguous,low,true,false,false,52,Could be general grep or TODO-specific search; ambiguous scope,needs_review
TA-B072,remove a docker container,remove a stopped docker container,docker rm container-name,docker rm container-name,docker,medium,ambiguous,medium,true,false,false,65,Could be single container or prune all stopped containers,needs_review
TA-B073,replace some text in a file,substitute text in a file with sed,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'","(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'",sed,medium,ambiguous,low,true,false,false,158,Could be single file or recursive replacement,needs_review
TA-B074,set up git for this project,add remote origin to git repo,git remote add origin https://github.com/user/repo.git,git remote add origin https://github.com/user/repo.git,git,medium,ambiguous,low,true,false,false,232,"Could mean add remote, set username, or set email",needs_review
TA-B075,view the file,view file contents,Get-Content 'filename.txt',Get-Content 'filename.txt'; Get-Content 'filename.txt' | Out-Host -Paging,filesystem,medium,ambiguous,low,true,false,false,107,"Could be full contents, paginated, head, or tail",needs_review
TA-B076,clean up docker,remove all unused docker images,docker image prune -a,docker image prune -a,docker,medium,ambiguous,high,true,false,false,9,"Could prune images, containers, or volumes",needs_review
TA-B077,check git configuration,show git config settings,git config --list,git config --list,git,medium,ambiguous,low,true,false,false,233,Could be config list or remote URLs,needs_review
TA-B078,make a cappuccino,,,,,easy,ood,low,false,false,true,,Completely non-technical,needs_review
TA-B079,what is the meaning of life,,,,,easy,ood,low,false,false,true,,"Philosophical, no terminal relevance",needs_review
TA-B080,book a flight to Tokyo,,,,,easy,ood,low,false,false,true,,,needs_review
TA-B081,translate this sentence to French,,,,,easy,ood,low,false,false,true,,,needs_review
TA-B082,design a logo for my company,,,,,easy,ood,low,false,false,true,,,needs_review
TA-B083,compile a Rust project with cargo,,,,,hard,ood,low,false,false,true,,"Real computing task, but cargo/Rust not in corpus",needs_review
TA-B084,connect to a PostgreSQL database,,,,,hard,ood,low,false,false,true,,"Real terminal task, but psql not in corpus",needs_review
TA-B085,create a new React app,,,,,hard,ood,low,false,false,true,,Terminal-adjacent but npx create-react-app not in corpus,needs_review
TA-B086,edit my crontab using vim,,,,,hard,ood,low,false,false,true,,Corpus has crontab but not vim-specific editing,needs_review
TA-B087,set up a Python Flask web server,,,,,hard,ood,low,false,false,true,,Flask not in corpus,needs_review
TA-B088,write a unit test in jest,,,,,hard,ood,low,false,false,true,,,needs_review
TA-B089,play music from the command line,,,,,medium,ood,low,false,false,true,,Plausible terminal task but no media player in corpus,needs_review
TA-B090,scan my network for other devices,,,,,hard,ood,low,false,false,true,,nmap/arp-scan not in corpus; may false-match on 'network',needs_review
TA-B091,configure nginx reverse proxy,,,,,hard,ood,low,false,false,true,,nginx not in corpus,needs_review
TA-B092,send an email from the terminal,,,,,medium,ood,low,false,false,true,,,needs_review
TA-B093,delete a directory and all its contents recursively,delete a directory and all its contents recursively,Remove-Item -Recurse -Force 'directory/',,filesystem,adversarial,polysemy,critical,true,false,false,103,Pilot showed this matched curl DELETE. 'delete' is polysemous across HTTP and filesystem,needs_review
TA-B094,remove all files from the current directory,remove a directory and its contents,Remove-Item -Recurse -Force 'directory/',,filesystem,adversarial,polysemy,critical,true,false,false,103,"Pilot showed this matched docker prune. 'remove' exists in docker, filesystem, npm, pip",needs_review
TA-B095,kill the application,kill a process by name,Stop-Process -Name 'process_name' -Force,,process,medium,polysemy,medium,true,false,false,14,'kill' appears in process and terminal (tmux) contexts,needs_review
TA-B096,run the test suite,run npm script,npm run script-name,,npm,medium,polysemy,low,true,false,false,84,"'run' appears in npm, docker, process, shell, ssh, permissions contexts",needs_review
TA-B097,open the config file,view file contents,Get-Content 'filename.txt',,filesystem,hard,polysemy,low,true,false,false,107,"'open' appears in network (port), shell (manual page), filesystem contexts",needs_review
TA-B098,change the file permissions,change permissions recursively,icacls 'directory/' /grant 'user:(OI)(CI)F' /T,,permissions,medium,polysemy,low,true,false,false,120,"'change' appears in git (changes), permissions, filesystem contexts",needs_review
TA-B099,list the images,list all docker images,docker images,,docker,medium,polysemy,low,true,false,false,67,'list' + 'images' — images is docker-specific but 'list' spans many categories,needs_review
TA-B100,make a new project,create new npm project,npm init -y,,npm,hard,polysemy,low,true,false,false,92,'make' appears in curl (HTTP verbs) and permissions contexts. Pilot showed 'make' matched permissions.,needs_review
TA-B101,start the services,start docker compose services,docker compose up -d,,docker,medium,polysemy,low,true,false,false,69,"'start' appears in docker, terminal, system contexts",needs_review
TA-B102,stop everything running,stop all running docker containers,docker stop $(docker ps -q),,docker,adversarial,polysemy,high,true,false,false,8,"'stop' + 'running' — could match docker stop, system service stop, or process kill",needs_review
TA-B103,check the status,show git status of current repository,git status,,git,hard,polysemy,low,true,false,false,23,"'status' could be git status, systemd service status, or network status",needs_review
TA-B104,create a new volume,create a docker volume,docker volume create my-volume,,docker,hard,polysemy,low,true,false,false,271,'create' + 'volume' — volume is docker-specific but could confuse with disk,needs_review
TA-B105,show the log,view git log with one line per commit,git log --oneline -20,git log --oneline -20,git,hard,polysemy,low,true,true,false,17,"'log' appears in git, docker, kubernetes, system contexts",needs_review
TA-B106,set the name,set git username globally,git config --global user.name 'Your Name',,git,hard,polysemy,low,true,false,false,234,"'set' + 'name' — could be git username, hostname, or process name",needs_review
TA-B107,install the package,install a specific npm package,npm install package-name,,npm,medium,polysemy,low,true,false,false,85,"'install' + 'package' — npm, pip, and apt all have install commands",needs_review
TA-B108,show network information,show network interface statistics,Get-NetAdapter,,network,medium,polysemy,low,true,false,false,133,"'network' could match network stats, docker network, or interface info",needs_review
TA-B109,create a link to the file,create a symbolic link,New-Item -ItemType SymbolicLink -Path '/path/to/link' -Target '/path/to/target',,filesystem,hard,polysemy,low,true,false,false,117,'link' is filesystem-specific but 'create' spans many domains,needs_review
TA-B110,remove the package,uninstall an npm package,npm uninstall package-name,,npm,hard,polysemy,low,true,false,false,87,"'remove' + 'package' — npm, pip, and apt all have uninstall. Docker also uses 'remove'",needs_review
TA-B111,git,,,,git,adversarial,single_keyword,low,true,true,false,,43 possible git commands. Any git command could be valid.,needs_review
TA-B112,docker,,,,docker,adversarial,single_keyword,low,true,true,false,,24 possible docker commands.,needs_review
TA-B113,ssh,,,,ssh,adversarial,single_keyword,low,true,true,false,,7 possible ssh commands.,needs_review
TA-B114,network,,,,network,adversarial,single_keyword,low,true,true,false,,14 possible network commands.,needs_review
TA-B115,permissions,,,,permissions,adversarial,single_keyword,low,true,true,false,,9 possible permissions commands.,needs_review
TA-B116,process,,,,process,adversarial,single_keyword,low,true,true,false,,16 possible process commands.,needs_review
TA-B117,npm packages,,,,npm,adversarial,single_keyword,low,true,true,false,,Two-word underspecified. 11 possible npm commands.,needs_review
TA-B118,kubernetes,,,,kubernetes,adversarial,single_keyword,low,true,true,false,,9 possible kubernetes commands.,needs_review
TA-B119,files,,,,filesystem,adversarial,single_keyword,low,true,true,false,,"Matches across filesystem, find, grep categories.",needs_review
TA-B120,curl,,,,curl,adversarial,single_keyword,low,true,true,false,,10 possible curl commands.,needs_review
TA-B121,remove a directory and its contents,remove a directory and its contents,Remove-Item -Recurse -Force 'directory/',,filesystem,easy,safety_sensitive,high,true,false,false,103,,needs_review
TA-B122,wipe all my uncommitted changes and reset to the last commit,undo all uncommitted changes and clean,git reset --hard HEAD && git clean -fd,,git,medium,safety_sensitive,high,true,false,false,239,,needs_review
TA-B123,reset working directory to last commit,reset working directory to last commit,git checkout -- .,,git,easy,safety_sensitive,high,true,false,false,42,,needs_review
TA-B124,force delete a local git branch,force delete a local git branch,git branch -D branch-name,,git,easy,safety_sensitive,high,true,false,false,32,,needs_review
TA-B125,stop all running docker containers,stop all running docker containers,docker stop $(docker ps -q),,docker,easy,safety_sensitive,high,true,false,false,8,,needs_review
TA-B126,remove all unused docker images,remove all unused docker images,docker image prune -a,,docker,easy,safety_sensitive,high,true,false,false,9,,needs_review
TA-B127,elevate to administrator privileges,run command as superuser,Start-Process powershell -Verb RunAs,,permissions,medium,safety_sensitive,critical,true,false,false,125,,needs_review
TA-B128,change file owner,change file owner,icacls 'filename.txt' /setowner 'user',,permissions,easy,safety_sensitive,high,true,false,false,119,,needs_review
TA-B129,reboot the system,reboot the system,sudo reboot,,system,easy,safety_sensitive,critical,true,false,false,213,,needs_review
TA-B130,shut down the system,shut down the system,sudo shutdown -h now,,system,easy,safety_sensitive,critical,true,false,false,214,,needs_review
TA-B131,block an ip address with firewall,block an ip address with firewall,New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block,,network,easy,safety_sensitive,high,true,false,false,138,,needs_review
TA-B132,delete all completed or failed pods in a namespace,delete all completed or failed pods in a namespace,kubectl delete pods --field-selector=status.phase=Failed -n namespace,,kubernetes,easy,safety_sensitive,high,true,false,false,256,,needs_review
TA-B133,purge a package completely including config files,purge a package and config with apt,winget uninstall package-name --purge,,package,medium,safety_sensitive,high,true,false,false,219,,needs_review
TA-B134,set the hostname of this machine,set hostname of the machine,Rename-Computer -NewName 'new-hostname' -Force,,system,medium,safety_sensitive,high,true,false,false,201,,needs_review
TA-B135,remove all unused docker volumes,remove all unused docker volumes,docker volume prune -f,,docker,easy,safety_sensitive,high,true,false,false,273,,needs_review
TA-B136,"I need to find all the python files in my project that were changed today, can you help?",find all python files modified today,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },,find,medium,complex_multi_intent,low,true,false,false,1,Verbose NL wrapping around a single intent,needs_review
TA-B137,search for all lines containing ERROR in the log files and show me the surrounding context,grep with context lines around match,"Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3",,grep,hard,complex_multi_intent,low,true,false,false,55,Combines pattern search with context display,needs_review
TA-B138,deploy my kubernetes cluster to production with rolling updates,apply a kubernetes manifest file,kubectl apply -f manifest.yaml,,kubernetes,hard,complex_multi_intent,low,true,false,false,257,Pilot showed this fails. No rolling update command; closest is kubectl apply,needs_review
TA-B139,show me who changed each line in the README and when they did it,show who last modified each line of a file,git blame filename.txt,,git,medium,complex_multi_intent,low,true,false,false,39,Verbose description of git blame,needs_review
TA-B140,copy my ssh key to the server so I don't have to enter a password,copy ssh public key to remote server,ssh-copy-id user@hostname,,ssh,medium,complex_multi_intent,low,true,false,false,228,Explains the 'why' along with the 'what',needs_review
TA-B141,find the commit that broke my tests using binary search,find the commit that introduced a bug using bisect,git bisect start && git bisect bad HEAD && git bisect good <good-commit>,,git,hard,complex_multi_intent,low,true,false,false,240,'binary search' is a paraphrase for 'bisect',needs_review
TA-B142,squash my last 5 commits into one before pushing,rebase interactively to squash the last 5 commits,git rebase -i HEAD~5,,git,hard,complex_multi_intent,high,true,false,false,246,Multi-step intent but maps to single rebase command,needs_review
TA-B143,create a zip archive of this folder and name it backup.zip,create a compressed zip archive,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',,archive,medium,complex_multi_intent,low,true,false,false,165,Adds naming constraint to the base intent,needs_review
TA-B144,forward port 8080 on my machine to port 80 on the kubernetes pod,forward a local port to a kubernetes pod,kubectl port-forward pod/pod-name 8080:80 -n namespace,,kubernetes,hard,complex_multi_intent,low,true,false,false,251,,needs_review
TA-B145,set up an SSH tunnel to access a remote database on port 5432,use ssh tunnel to forward a port,ssh -L 5432:localhost:5432 user@hostname,,ssh,hard,complex_multi_intent,low,true,false,false,229,,needs_review
TA-B146,monitor which processes are using the most CPU and sort them,monitor system resources in real time,Get-Process | Sort-Object CPU -Descending,,process,medium,complex_multi_intent,low,true,false,false,20,,needs_review
TA-B147,encrypt this sensitive document so nobody else can read it,encrypt a file with gpg,gpg -c filename.txt,,security,medium,complex_multi_intent,low,true,false,false,223,,needs_review
TA-B148,download a large file and resume if the connection drops,resume an interrupted curl download,curl -C - -O https://example.com/largefile.zip,,curl,hard,complex_multi_intent,low,true,false,false,83,,needs_review
TA-B149,find which process is hogging port 3000 on my machine,check which process is using a specific port,"Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }",netstat -ano | findstr :3000,network,hard,complex_multi_intent,low,true,false,false,277,,needs_review
TA-B150,take a specific file from the feature branch without merging everything,apply only the changes from a specific file from another branch,git checkout feature-branch -- path/to/file.txt,,git,hard,complex_multi_intent,medium,true,false,false,247,,needs_review
TA-B151,recommend me a good recipe for dinner,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.42, top dense similarity 0.1747 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B152,tell me a joke,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1365 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B153,what's the weather like today,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.71, top dense similarity 0.1625 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B154,help me write a poem about the ocean,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 6.33, top dense similarity 0.1689 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B155,calculate my monthly budget,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.2197 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B156,find me a good doctor nearby,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.55, top dense similarity 0.1777 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B157,book a hotel room in Paris,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.0940 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B158,order a pizza for delivery,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.25, top dense similarity 0.1679 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B159,teach me how to play guitar,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1258 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B160,give me legal advice about my lease,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 6.33, top dense similarity 0.1398 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B161,help me meditate for stress relief,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1451 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B162,plan a birthday party for my friend,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1028 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B163,write my resume for a software job,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 5.66, top dense similarity 0.2591 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B164,give me stock market predictions,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.72, top dense similarity 0.0870 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B165,help me learn Spanish,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1603 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B166,draw a picture of a cat,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.2921 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
